Subject_ID_64	Subject_ID_65	Subject_ID_66	Subject_ID_67	Subject_ID_68	Subject_ID_69	Subject_ID_70	GENESYMBOL	CHR	COORDINATE
cg04648087	0.086649879	0.125874198	0.10610665	0.107953528	0.122824983	0.141027619	0.117715241	TSC1	9	135819397
cg07738800	0.0627490020724758	0.0740048060129738	0.0500336401589052	0.0534446452040131	0.0675302430584902	0.0472850284553645	0.0522331248141731	TSC1	9	135819856
cg14061503	0.0867453477320545	0.108024580443454	0.103474929963225	0.0777904726711216	0.0980003749799718	0.0888299039610086	0.105925724444958	TSC1	9	135820653
cg14211075	0.707137403359846	0.62304102073176	0.640104742116841	0.698060137246133	0.590320725228649	0.695467006093281	0.603605938535495	TSC1	9	135818481
cg14267811	0.115599153683401	0.150774145981814	0.129308499250696	0.131010705861005	0.116701244813278	0.115753587568382	0.157538943862055	TSC1	9	135819425
cg14322570	0.837247079870559	0.84315728619813	0.869968725874276	0.864699128576205	0.823525538613601	0.858653589363952	0.862106796420177	TSC1	9	135769402
cg14350545	0.0656010130752946	0.0820774740956303	0.0802493286521356	0.0816088244414976	0.0691631579551684	0.0828253107874021	0.0955889656154624	TSC1	9	135820463
cg14564332	0.752365426305437	0.720503485120316	0.761767682954865	0.779410058556423	0.665691367612923	0.687814681739798	0.757822897786659	TSC1	9	135776260
cg19350728	0.0608151522982011	0.0643385497269939	0.0659481689773899	0.0540132802029981	0.0512740341430428	0.0574003024116631	0.0807455711180706	TSC1	9	135820526
cg19393006	0.474299691156994	0.490720510871619	0.48548220759184	0.437809500896295	0.407318286197894	0.51867529109933	0.474403608768847	TSC1	9	135820767

